시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원,대출자수_대비_도서관수,대출권수_대비_열람좌석수,대출권수_대비_자료수_도서
충청남도,천안시,20,4295,1132099,200,212195.0,1986369.0,1491879.0,10609.75,462.4840512223516,1.7545894837818954
충청남도,청양군,2,318,131626,41543,1969.0,21858.0,84995.0,984.5,68.73584905660377,0.16606141643748196
충청남도,태안군,3,299,236697,30,4565.0,142104.0,190404.0,1521.6666666666667,475.26421404682276,0.6003624887514417
충청남도,홍성군,7,1704,510455,53,18823.0,452402.0,671867.0,2689.0,265.49413145539904,0.886272051405119
충청북도,괴산군,1,340,63499,10,1292.0,27230.0,27558.0,1292.0,80.08823529411765,0.42882565079765034
충청북도,괴산군 괴산읍,1,399,68223,5,,,,,,
충청북도,단양군,3,463,172381,25,9228.0,43484.0,79392.0,3076.0,93.91792656587474,0.25225517893503346
충청북도,보은군,2,491,66235,10,12156.0,36977.0,59883.0,6078.0,75.30957230142566,0.5582697969351551
충청북도,영동군,39,2402,649695,102,7242.0,42326.0,62780.0,185.69230769230768,17.621149042464612,0.06514749228484135
충청북도,옥천군,2,402,101644,10,3150.0,67055.0,110913.0,1575.0,166.80348258706468,0.6597044586989886
충청북도,음성군,6,1001,245142,30,16961.0,126497.0,166978.0,2826.8333333333335,126.37062937062937,0.5160152075123806
충청북도,제천시,6,605,530374,55,56782.0,373032.0,605384.0,9463.666666666666,616.5818181818182,0.7033376447563418
충청북도,증평군,2,914,127432,13,4328.0,72674.0,81240.0,2164.0,79.51203501094092,0.570296314897357
충청북도,진천군,4,807,291898,25,58336.0,175280.0,203683.0,14584.0,217.1995043370508,0.6004837306182297
충청북도,청주시,16,4154,1972565,155,493313.0,2601127.0,1605962.0,30832.0625,626.1740491092922,1.3186521103233606
